2018-05-09T10:18:56.562Z - info: User function triggered, starting execution
2018-05-09T10:18:57.038Z - info: Execution took 483 ms, user function completed successfully
2018-05-09T10:18:57.315Z - info: User function triggered, starting execution
2018-05-09T10:18:57.331Z - info: Execution took 16 ms, user function completed successfully
2018-05-09T10:19:03.536Z - info: User function triggered, starting execution
2018-05-09T10:19:03.542Z - info: Execution took 6 ms, user function completed successfully
2018-05-09T10:19:03.908Z - info: User function triggered, starting execution
2018-05-09T10:19:03.916Z - info: Execution took 9 ms, user function completed successfully
2018-05-09T10:22:05.116Z - info: User function triggered, starting execution
2018-05-09T10:22:05.441Z - info: Execution took 329 ms, user function completed successfully
2018-05-09T10:22:05.744Z - info: User function triggered, starting execution
2018-05-09T10:22:05.753Z - info: Execution took 9 ms, user function completed successfully
2018-05-09T10:22:19.239Z - info: User function triggered, starting execution
2018-05-09T10:22:19.246Z - info: Execution took 6 ms, user function completed successfully
2018-05-09T10:22:19.433Z - info: User function triggered, starting execution
2018-05-09T10:22:19.441Z - info: Execution took 7 ms, user function completed successfully
